OnsetTime1,TimeStamp1,Text1,Language1,Speaker1,OnesetTime2,TimeStamp2,Text2,Language2,Speaker2,Absolute_onset_time_difference,TimeStamp_difference,Text_difference_word_count,text_difference,language_difference,Speaker_difference
02:03,02:03 - 02:17,,,,02:03,02:03 - 02:17,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:17,02:17 - 02:19,那我做的这个是什么,zh,SPEAKER_02,02:17,02:17 - 02:19,那不就我做的测试吗,zh,Speaker 3 Parent,No difference,00:00:00,0,TRUE,FALSE,TRUE
02:19,02:19 - 02:20,,,,02:19,02:19 - 02:20,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:20,02:20 - 02:21,[blank_audio],en,SPEAKER_04,02:20,02:20 - 02:21,,,,No difference,00:00:00,0,TRUE,FALSE,FALSE
02:21,02:21 - 02:29,,,,02:21,02:21 - 02:29,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:29,02:29 - 02:29,[blank_audio],en,SPEAKER_00,02:29,02:29 - 02:29,unclear,zh,Speaker 3 Parent,No difference,00:00:00,1,TRUE,TRUE,TRUE
02:29,02:29 - 02:30,,,,02:29,02:29 - 02:30,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:30,02:30 - 02:33,"那lawrence,我们现在有两个游戏,一个中文",zh,SPEAKER_05,02:30,02:30 - 02:33,"那lawrence,我们现在有两个游戏,一个中文一个英文",en + zh,Speaker 4 Experimenter,No difference,00:00:00,4,TRUE,TRUE,TRUE
02:33,02:33 - 02:35,你想先玩哪一個呢,zh,SPEAKER_05,02:33,02:33 - 02:35,你想先玩哪一個呢,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
02:35,02:35 - 02:37,,,,02:35,02:35 - 02:37,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:37,02:37 - 02:37,这是 ....,zh,SPEAKER_05,02:37,02:37 - 02:37,中文和英文吗,zh,Speaker 2 Child,No difference,00:00:00,4,TRUE,FALSE,TRUE
02:37,02:37 - 02:40,,,,02:37,02:37 - 02:40,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:40,02:40 - 02:41,跟装人的一个经过,zh,SPEAKER_03,02:40,02:40 - 02:44,一个中文的一个英文的,zh,Speaker 3 Parent,No difference,00:00:03,2,TRUE,FALSE,TRUE
02:41,02:41 - 02:45,,,,02:44,02:44 - 02:45,中文的,zh,Speaker 2 Child,00:03,00:00:03,3,TRUE,TRUE,TRUE
02:45,02:45 - 02:50,"好,那就请爸爸帮小朋友选一下中文的游戏。",zh,SPEAKER_05,02:45,02:45 - 02:50,"好,那就请爸爸帮小朋友选一下中文的游戏。",zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
02:50,02:50 - 02:51,,,,02:50,02:50 - 02:51,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:51,02:51 - 02:54,I want to begin in chinese.,en,SPEAKER_08,02:51,02:51 - 02:54,中文的是begin begin chinese test,en + zh,Speaker 2 Child,No difference,00:00:00,6,TRUE,TRUE,TRUE
02:54,02:54 - 02:55,,,,02:54,02:54 - 02:55,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:55,02:55 - 02:56,你来也可以,zh,SPEAKER_05,02:55,02:55 - 02:56,你来也可以,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
02:56,02:56 - 02:58,,,,02:56,02:56 - 02:58,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
02:58,02:58 - 03:02,然后这里请您输入v015,zh,SPEAKER_05,02:58,02:58 - 03:02,然后这里请您输入v015,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:02,03:02 - 03:04,,,,03:02,03:02 - 03:04,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:04,03:04 - 03:06,然后接下来就可以开始玩游戏了,zh,SPEAKER_05,03:04,03:04 - 03:06,然后接下来就可以开始玩游戏了,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:06,03:06 - 03:07,我们接下来就不会打扰你们了,zh,SPEAKER_05,03:06,03:06 - 03:07,我们接下来就不会打扰你们了,zh,Speaker 4 Experimenter,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:07,03:07 - 03:12,,,,03:07,03:07 - 03:12,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:12,03:12 - 03:13,是這個嗎,zh,SPEAKER_08,03:12,03:12 - 03:13,是這個嗎,zh,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:13,03:13 - 03:14,,,,03:13,03:13 - 03:14,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:14,03:14 - 03:14,Continue.,en,SPEAKER_08,03:14,03:14 - 03:14,Continue.,en,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:14,03:14 - 03:19,,,,03:14,03:14 - 03:19,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:19,03:19 - 03:22,歡迎來到聽句子選圖片的遊戲,zh,SPEAKER_07,03:19,03:19 - 03:22,歡迎來到聽句子選圖片的遊戲,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:22,03:22 - 03:23,,,,03:22,03:22 - 03:23,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:23,03:23 - 03:28,接下来你需要根据听到的句子来选择出正确的图片,zh,SPEAKER_07,03:23,03:23 - 03:28,接下来你需要根据听到的句子来选择出正确的图片,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:28,03:28 - 03:30,我們先來試一下吧,zh,SPEAKER_07,03:28,03:28 - 03:30,我們先來試一下吧,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:30,03:30 - 03:31,准备好了吗,zh,SPEAKER_07,03:30,03:30 - 03:32,准备好了吗,zh,Speaker 1 System,No difference,00:00:01,0,FALSE,FALSE,TRUE
03:31,03:31 - 03:34,,,,03:32,03:32 - 03:34,嗯,zh,Speaker 2 Child,00:01,00:00:01,1,TRUE,TRUE,TRUE
03:34,03:34 - 03:36,藍色的蛇在吃蘋果,zh,SPEAKER_07,03:34,03:34 - 03:36,藍色的蛇在吃蘋果,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:36,03:36 - 03:37,,,,03:36,03:36 - 03:37,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:37,03:37 - 03:40,歡迎來到聽句子選圖片的遊戲,zh,SPEAKER_07,03:37,03:37 - 03:40,歡迎來到聽句子選圖片的遊戲,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:40,03:40 - 03:41,,,,03:40,03:40 - 03:41,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:41,03:41 - 03:46,接下来你需要根据听到的句子来选择出正确的图片,zh,SPEAKER_07,03:41,03:41 - 03:46,接下来你需要根据听到的句子来选择出正确的图片,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:46,03:46 - 03:48,我们先来试一下吧,zh,SPEAKER_07,03:46,03:46 - 03:48,我们先来试一下吧,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:48,03:48 - 03:49,准备好了吗,zh,SPEAKER_07,03:48,03:48 - 03:49,准备好了吗,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:49,03:49 - 03:50,,,,03:49,03:49 - 03:50,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:50,03:50 - 03:50,Hmm,en,SPEAKER_04,03:50,03:50 - 03:50,Hmm,en,Speaker 2 Child,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:50,03:50 - 03:53,,,,03:50,03:50 - 03:53,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
03:53,03:53 - 03:55,藍色的蛇在吃蘋果,zh,SPEAKER_07,03:53,03:53 - 03:55,藍色的蛇在吃蘋果,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:55,03:55 - 03:58,藍色的蛇在吃蘋果,zh,SPEAKER_07,03:55,03:55 - 03:58,藍色的蛇在吃蘋果,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:58,03:58 - 03:59,请选出,zh,SPEAKER_07,03:58,03:58 - 03:59,请选出,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
03:59,03:59 - 04:01,藍色的蛇在吃蘋果,zh,SPEAKER_07,03:59,03:59 - 04:01,藍色的蛇在吃蘋果,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
04:01,04:01 - 04:03,,,,04:01,04:01 - 04:03,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:03,04:03 - 04:04,太棒了,zh,SPEAKER_07,04:03,04:03 - 04:04,太棒了,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
04:04,04:04 - 04:05,讓我們繼續吧,zh,SPEAKER_07,04:04,04:04 - 04:05,讓我們繼續吧,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
04:05,04:05 - 04:06,,,,04:05,04:05 - 04:06,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:06,04:06 - 04:06,请点击开始按钮进入下一题,zh,SPEAKER_07,04:06,04:06 - 04:06,请点击开始按钮进入下一题,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
04:06,04:06 - 04:06,請點擊,zh,SPEAKER_02,04:06,04:06 - 04:06,,,,No difference,00:00:00,3,TRUE,FALSE,FALSE
04:06,04:06 - 04:15,,,,04:06,04:06 - 04:15,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:15,04:15 - 04:17,烏龜在椅子中间,zh,SPEAKER_09,04:15,04:15 - 04:17,烏龜在椅子中间,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
04:17,04:17 - 04:22,,,,04:17,04:17 - 04:22,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:22,04:22 - 04:23,兩個烏龜在,zh,SPEAKER_09,04:22,04:22 - 04:23,兩個烏龜在,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
04:23,04:23 - 04:24,,,,04:23,04:23 - 04:24,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:24,04:24 - 04:28,两个凳子柔乌龟在椅子中间,zh,SPEAKER_09,04:24,04:24 - 04:28,两个凳子然后乌龟在椅子中间,zh,Speaker 1 System,No difference,00:00:00,1,TRUE,FALSE,TRUE
04:28,04:28 - 04:34,,,,04:28,04:28 - 04:34,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:34,04:34 - 04:37,小鴨子在桌子旁邊,zh,SPEAKER_09,04:34,04:34 - 04:37,小鴨子在桌子旁邊,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
04:37,04:37 - 04:41,,,,04:37,04:37 - 04:41,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:41,04:41 - 04:44,剛才點的那位索隆波小心點上這個了,zh,SPEAKER_09,04:41,04:41 - 04:44,剛才點的那时候不小心點上這個了,zh,Speaker 2 Child,No difference,00:00:00,1,TRUE,FALSE,TRUE
04:44,04:44 - 04:45,,,,04:44,04:44 - 04:45,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:45,04:45 - 04:46,風箏在飛機下面,zh,SPEAKER_09,04:45,04:45 - 04:46,風箏在飛機下面,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
04:46,04:46 - 04:54,,,,04:46,04:46 - 04:54,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
04:54,04:54 - 04:56,場景錄在椅子後面,zh,SPEAKER_09,04:54,04:54 - 04:56,长颈鹿在椅子後面,zh,Speaker 1 System,No difference,00:00:00,0,TRUE,FALSE,TRUE
04:56,04:56 - 05:03,,,,04:56,04:56 - 05:03,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
05:03,05:03 - 05:06,所有的老奶奶都提着水桶,zh,SPEAKER_09,05:03,05:03 - 05:06,所有的老奶奶都提着水桶,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
05:06,05:06 - 05:12,,,,05:06,05:06 - 05:12,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
05:12,05:12 - 05:15,所有的小猪都在爬梯子,zh,SPEAKER_09,05:12,05:12 - 05:15,所有的小猪都在爬梯子,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
05:15,05:15 - 05:17,,,,05:15,05:15 - 05:17,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
05:17,05:17 - 05:18,- mm-hmm. - thank you.,en,SPEAKER_00,05:17,05:17 - 05:18,- mm-hmm. ,en,Speaker 2 Child,No difference,00:00:00,2,TRUE,FALSE,TRUE
05:18,05:18 - 05:21,,,,05:18,05:18 - 05:21,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
05:21,05:21 - 05:24,所有的女孩都在推箱子,zh,SPEAKER_09,05:21,05:21 - 05:24,所有的女孩都在推箱子,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
05:24,05:24 - 05:30,,,,05:24,05:24 - 05:30,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
05:30,05:30 - 05:32,所有的男孩都在,zh,SPEAKER_09,05:30,05:30 - 05:32,所有的男孩都在,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
05:32,05:32 - 05:32,玩球,zh,SPEAKER_07,05:32,05:32 - 05:32,玩球,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
05:32,05:32 - 05:39,,,,05:32,05:32 - 05:39,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
05:39,05:39 - 05:41,有的小朋友在吃蘋果,zh,SPEAKER_09,05:39,05:39 - 05:41,有的小朋友在吃蘋果,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
05:41,05:41 - 05:51,,,,05:41,05:41 - 05:51,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
05:51,05:51 - 05:53,有的小狗在啃骨头,zh,SPEAKER_09,05:51,05:51 - 05:53,有的小狗在啃骨头,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
05:53,05:53 - 05:55,,,,05:53,05:53 - 05:55,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
05:55,05:55 - 05:56,有的,zh,SPEAKER_09,05:55,05:55 - 05:56,有的,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
05:56,05:56 - 06:01,,,,05:56,05:56 - 06:01,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
06:01,06:01 - 06:03,有的動物舉著一面棋,zh,SPEAKER_09,06:01,06:01 - 06:03,有的動物舉著一面棋,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
06:03,06:03 - 06:11,,,,06:03,06:03 - 06:11,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
06:11,06:11 - 06:13,有的小男孩在吃香蕉,zh,SPEAKER_07,06:11,06:11 - 06:13,有的小男孩在吃香蕉,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
06:13,06:13 - 06:14,,,,06:13,06:13 - 06:14,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
06:14,06:14 - 06:16,小朋友太棒了,zh,SPEAKER_07,06:14,06:14 - 06:16,小朋友太棒了,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
06:16,06:16 - 06:18,小狗已经得到了一些好吃的,zh,SPEAKER_07,06:16,06:16 - 06:18,小狗已经得到了一些好吃的,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
06:18,06:18 - 06:19,,,,06:18,06:18 - 06:19,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
06:19,06:19 - 06:20,让我们继续吧,zh,SPEAKER_07,06:19,06:19 - 06:20,让我们继续吧,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
06:20,06:20 - 06:23,这样小狗就可以得到更多好吃的了,zh,SPEAKER_07,06:20,06:20 - 06:23,这样小狗就可以得到更多好吃的了,zh,Speaker 1 System,No difference,00:00:00,0,FALSE,FALSE,TRUE
06:23,06:23 - 06:24,,,,06:23,06:23 - 06:24,,,,Absolute time difference:,00:00:00,Text difference word count:,FALSE,FALSE,FALSE
06:24,06:24 - 06:25,那他想說沒有吃,zh,SPEAKER_08,06:24,06:24 - 06:25,那他想說沒有吃诶，我发现,zh,Speaker 2 Child,No difference,00:00:00,4,TRUE,FALSE,TRUE
